Internal count,RA,DEC,X,Y,GAIA gband,SDSS gband,SDSS rband,Xguider,Yguider
1,36.737339,0.33902,-7.130249,-13.3375,,,13,122.1513867499604,1298.1320395175471
2,36.747639,0.670835,-6.691532,0.782461,,12,12,1458.0775636020628,1219.4608384963476
3,36.754892,0.533429,-6.38308,-5.064658,,13,12,919.4520755065287,1212.4850036918147
4,36.759354,0.693686,-6.193004,1.754827,,14,13,1543.722041746072,1169.992241474997
5,36.769798,0.65967,-5.748668,0.307307,,13,13,1412.0026986195867,1135.6297103231918
6,36.778383,0.429222,-5.383609,-9.499073,,,13,493.1092198416033,1128.9488282243824
7,36.779433,0.355071,-5.339015,-12.654508,,13,13,183.27312211015806,1127.7038081958558
8,36.783078,0.538763,-5.183698,-4.837709,,12,12,936.6880215178998,1100.7290744766728
9,36.798163,0.354144,-4.541975,-12.693978,,,12,176.84093746830072,1051.7135414579516
10,36.810875,0.552607,-4.000899,-4.248598,,,13,988.4945574932276,989.1989124428118
11,36.831185,0.45582,-3.136746,-8.36724,,,14,596.3100815451792,915.2985426672968
12,36.862129,0.541231,-1.819982,-4.732741,,12,12,938.9876094297804,785.8427942344638
13,36.86362,0.446798,-1.756554,-8.751201,,,14,556.9163993059776,784.3383727734006
14,36.867454,0.492628,-1.593376,-6.800959,,13,12,743.471574722354,767.263365496059
15,36.870173,0.682725,-1.477638,1.288322,,14,,1491.2247774410212,739.3450499743042
16,36.870892,0.682735,-1.447034,1.288737,,,13,1491.227714744652,736.5076700943788
17,36.876634,0.273357,-1.202803,-16.131868,,,14,-176.4096373079785,724.8924064601
18,36.877561,0.53311,-1.163312,-5.078307,,12,11,905.7629054456784,724.3865249427333
19,36.885853,0.56828,-0.810489,-3.581693,,,14,1045.2572629884728,688.7263138639264
20,36.898043,0.569608,-0.291757,-3.525206,,,14,1050.124212420611,639.6673487000161
21,36.917013,0.321208,0.515466,-14.095557,,14,,29.128602383611458,560.5301791385157
22,36.929505,0.55176,1.046962,-4.284683,,,14,979.0225535962662,513.6107555746976
23,36.941588,0.61725,1.561113,-1.497881,,,9,1236.9321091459328,461.2070205543139
24,36.968192,0.703468,2.69307,2.171007,,,14,1569.7691206657225,347.43275979941205
25,36.97544,0.590984,3.001533,-2.615538,,12,11,1135.1559804711615,325.54740440082077
26,36.975627,0.590976,3.009518,-2.615895,11,,,1135.1332725206335,324.78710524405466
27,36.986064,0.312705,3.453794,-14.457399,,13,12,-4.656256007405995,268.96689130629056
28,36.987022,0.581874,3.49437,-3.003207,,12,12,1099.9336479968056,278.65012543306136
29,36.987137,0.402799,3.499382,-10.623502,10,,,375.60643978519715,274.037723163956
30,36.992645,0.450123,3.733748,-8.609653,,,13,571.284841639792,254.05578336626837
31,37.003407,0.665587,4.191489,0.559076,,,13,1426.70380340764,208.48564881461496
32,37.00351,0.333902,4.196151,-13.555351,,,14,87.29126059738277,197.89910275910498
33,37.023354,0.378251,5.040541,-11.668087,,14,14,276.44218634056244,119.43045631582592
34,37.023638,0.390844,5.052622,-11.132199,9,,,329.09823563737774,119.62777354437654
35,37.026661,0.33309,5.18134,-13.58991,,,14,86.3268629020674,99.4468713238474
36,37.03933,0.674384,5.720056,0.933454,,,13,1463.590349488569,62.177013254173445
37,37.040987,0.49372,5.790743,-6.754409,,,14,753.1634757497793,54.976788859445286
38,37.049781,0.317274,6.165194,-14.262917,,13,13,22.087757071207974,-1.8711405341363978
39,37.051475,0.679447,6.236789,1.148905,,12,,1484.308628176345,12.479852555878587
40,37.051475,0.679447,6.236789,1.148905,,,11,1484.308628176345,12.479852555878587
41,37.06394,0.644068,6.767241,-0.35657,,,13,1349.739358377851,-37.494698402704046
42,37.072412,0.379796,7.128112,-11.602323,,13,12,289.70747201700163,-88.57707777700627
