"Internal count",RA,DEC,g mag,x deg,y deg,xmm_nicole,ymm_nciole
1,0.000872,1.088979,8.990037,-0.090552,-0.294358,-3.81717,-12.408502
2,0.064613,1.207946,11.823838,-0.007133,-0.188265,-0.301159,-7.948758
3,0.143461,1.066249,8.677892,0.045902,-0.341498,1.933738,-14.386474
4,359.996741,1.239476,11.899264,-0.068484,-0.145431,-2.892193,-6.141819
5,0.002719,1.247124,11.21874,-0.06127,-0.138937,-2.587725,-5.868035
6,0.0266,1.331968,9.07557,-0.023024,-0.059529,-0.972906,-2.51548
7,0.038536,1.289373,10.086621,-0.018669,-0.103549,-0.788729,-4.374788
-8,22.374342,0.385839,11.857352,0.032143,-0.240459,1.356271,-10.146112
9,22.449162,0.275816,10.58431,0.14008,-0.318256,5.900908,-13.406601
8,22.4490983,0.2758526,7.73287,0.12661,-0.218059,5.341594,-9.199783
10,22.470774,0.374579,7.73287,0.12661,-0.218059,5.341594,-9.199783
11,22.39439,0.358427,11.900974,0.060357,-0.259361,2.545935,-10.940163
12,22.455571,0.580502,10.246187,0.041892,-0.029754,1.770297,-1.257362
13,14.779574,-0.145077,8.382003,0.122372,-0.174092,5.165337,-7.348422
14,14.642088,-0.25461,11.709938,-0.032045,-0.258086,-1.351831,-10.88735
15,14.578173,-0.349763,11.018049,-0.111512,-0.340695,-4.696504,-14.348941
16,351.96842,-2.126415,11.660376,0.115042,-0.271119,4.850564,-11.431327
17,351.719117,-1.990274,10.760506,-0.134103,-0.13498,-5.661853,-5.698882
18,351.915116,-1.887787,10.212835,0.061782,-0.032488,2.61064,-1.372815
19,351.917335,-1.86546,9.717599,0.064001,-0.010161,2.704453,-0.42938
20,351.944342,-1.952026,9.897263,0.09099,-0.096728,3.843519,-4.085917
21,351.947933,-2.004666,11.121481,0.094576,-0.149369,3.993547,-6.307
22,275.0817436,64.20298882,7.1,,,,
23,275.011913,64.44115309,11,,,,
24,274.7384847,64.25807469,8.9,,,,
25,235.1842492,47.85490481,9.9,,,,
26,11.74227644,2.967784983,11.2,,,,
27,11.91243088,2.993149037,8.66,,,,
28,11.94680242,2.904172905,8.57,,,,
